timestamp,X,Y,Z
1764346969376,-0.693000,-2.700000,0.232050
1764346969386,-0.709950,-2.278950,1.153950
1764346969396,-0.331950,-2.077950,1.441050
1764346969406,0.514950,-2.080050,1.165950
1764346969416,1.072950,-2.194950,1.210950
1764346969426,1.471950,-2.545050,1.740000
1764346969436,1.846050,-3.130950,1.575000
1764346969446,2.406000,-4.084050,1.738050
1764346969456,3.045000,-5.320050,1.956000
1764346969466,3.652950,-6.604950,1.480050
1764346969476,4.149000,-7.855051,0.630000
1764346969486,4.462950,-8.935050,-0.171000
1764346969496,4.573050,-9.744000,-0.861000
1764346969506,4.621050,-10.467001,-1.315950
1764346969516,4.696950,-11.157001,-1.516950
1764346969526,4.963050,-11.851050,-1.759050
1764346969536,5.298000,-12.415951,-1.821000
1764346969546,5.811000,-13.197001,-2.083950
1764346969555,6.241951,-14.154000,-2.482050
1764346969565,6.639000,-14.911051,-3.004050
1764346969575,7.150950,-15.615001,-3.387000
1764346969585,7.375950,-16.050001,-3.319950
1764346969595,6.919050,-15.847051,-3.811050
1764346969605,4.999050,-14.533051,-7.552950
1764346969615,1.975050,-12.547951,-16.131001
1764346969625,1.216050,-12.796950,-9.028050
1764346969635,0.700950,-13.419001,-4.078950
1764346969645,0.238950,-13.339951,-5.254050
1764346969655,0.891000,-12.646050,-3.313050
1764346969665,2.241000,-11.431951,-0.808050
1764346969675,3.136050,-9.960000,0.333000
1764346969685,3.462000,-8.413051,0.742050
1764346969695,3.510000,-7.591950,0.706050
1764346969705,4.684950,-8.406000,0.451950
1764346969715,5.881950,-9.790051,1.969950
1764346969725,5.871000,-11.157001,2.551950
1764346969735,6.310950,-12.067051,2.734050
1764346969745,7.434000,-12.937951,2.161950
1764346969754,8.581051,-13.410001,0.916950
1764346969764,9.826051,-13.228050,-1.294050
1764346969774,10.503000,-11.983050,-3.214950
1764346969784,10.513050,-10.192051,-3.303000
1764346969794,9.981001,-8.367001,-1.749000
1764346969804,9.595950,-6.687000,0.688950
1764346969814,9.651000,-5.446950,1.672950
1764346969824,10.843051,-4.812000,0.754050
1764346969834,11.461051,-4.387950,-2.307000
1764346969844,10.539001,-3.253050,-2.905950
1764346969854,8.740951,-1.872000,-1.543050
1764346969864,7.225950,-0.981000,-1.017000
1764346969874,6.021000,-1.252050,-1.246050
1764346969884,4.690050,-1.828950,-0.751050
1764346969894,3.847050,-0.847050,1.609050
1764346969904,3.282000,-1.180050,2.125950
1764346969914,2.803950,-1.360050,0.967050
1764346969924,2.932950,-1.453050,0.273000
1764346969934,2.980950,-1.633050,-0.082950
1764346969944,2.746050,-1.810050,-0.550050
1764346969953,2.776950,-2.233950,-0.844050
1764346969963,3.055050,-2.932950,-0.780000
1764346969973,3.547950,-3.736950,-0.444000
1764346969983,4.065000,-4.630050,-0.432000
1764346969993,4.209000,-5.386950,-0.817950
1764346970003,4.489050,-6.466050,-0.954000
1764346970013,4.542000,-7.078950,-1.038000
1764346970023,4.506000,-7.822051,-0.660000
1764346970033,4.192050,-8.643001,-0.781950
1764346970043,4.360050,-10.257001,-1.792050
1764346970053,4.306950,-12.811050,-6.934950
1764346970063,1.417050,-17.224051,-21.762001
1764346970073,-13.215000,-21.502050,-21.774000
1764346970083,-15.757951,-18.282001,-15.183001
1764346970093,-9.111000,-17.734051,-12.966001
1764346970103,-1.840050,-15.459001,-11.970000
1764346970113,-0.124050,-12.912001,-10.651051
1764346970123,0.169950,-11.736001,-5.314050
1764346970133,3.522000,-10.977000,-1.206000
1764346970143,5.875050,-11.298000,-0.186000
1764346970152,7.597050,-10.627951,1.507950
1764346970162,9.490951,-9.346951,0.196050
1764346970172,12.583951,-8.896951,-2.937000
1764346970182,13.776001,-7.885951,-5.206050
1764346970192,14.073001,-6.154950,-4.531050
1764346970202,12.996000,-5.542050,-3.319950
1764346970212,11.662050,-7.680000,0.235050
1764346970222,9.844951,-9.802051,2.455950
1764346970232,8.257951,-10.795051,1.530000
1764346970242,8.013000,-11.299951,-0.576000
1764346970252,8.230950,-12.070951,-1.962000
1764346970262,7.908000,-12.423000,-3.163950
1764346970272,6.352050,-12.330001,-3.772050
1764346970282,5.029950,-11.932051,-3.379950
1764346970292,4.398000,-10.903050,-2.146950
1764346970302,3.804000,-9.727051,-1.242000
1764346970312,3.060000,-8.359950,-0.930000
1764346970322,2.389050,-7.041000,-1.225050
1764346970332,1.741050,-5.775000,-1.033050
1764346970341,1.329000,-4.791000,-0.813000
1764346970351,0.828000,-4.069950,-0.634050
1764346970361,0.577050,-3.397050,-0.777000
1764346970371,0.412050,-2.776950,-0.913950
1764346970381,0.567000,-2.313000,-0.756000
1764346970391,0.886050,-2.047050,-0.472950
1764346970401,1.213950,-1.957950,-0.334050
1764346970411,1.527000,-1.927050,-0.112050
1764346970421,1.747950,-2.224050,0.730050
1764346970431,1.944000,-2.382000,0.943050
1764346970441,2.425050,-3.196050,1.137000
